Arzt Fachrichtung,Jahr,Stadtteil,Dichte,Anzahl Einwohner,Anzahl Aerzte
Allgemeinmedizin,2014,Ludwigsvorstadt-Isarvorstadt,745.4,52177,70
Allgemeinmedizin,2014,Altstadt-Lehel,433.5,20806,48
Allgemeinmedizin,2014,Hadern,3117.1,49874,16
Allgemeinmedizin,2014,Sendling-Westpark,2972.9,96907,41
Allgemeinmedizin,2014,Giesing,2930.2,52743,18
Allgemeinmedizin,2014,Moosach,2771.4,52657,19
Allgemeinmedizin,2014,Allach-Untermenzing,2612.8,31353,12
Allgemeinmedizin,2014,Trudering-Riem,2520.9,68063,27
Allgemeinmedizin,2014,Schwabing-Freimann,2475.9,71802,29
Allgemeinmedizin,2014,Milbertshofen-Am Hart,2408.6,74667,31
Allgemeinmedizin,2014,Ramersdorf-Perlach,2293.7,110099,48
Allgemeinmedizin,2014,Pasing,2178.2,35940,17
Allgemeinmedizin,2014,Feldmoching-Hasenbergl,2152.2,60262,28
Allgemeinmedizin,2014,Thalkirchen-Obersendling,2125.9,30470,14
Allgemeinmedizin,2014,Schwabing-West,2033.2,67094,33
Allgemeinmedizin,2014,Aubing-Lochhausen-Langwied,1948.1,42859,22
Allgemeinmedizin,2014,Bogenhausen,1864.4,83900,45
Allgemeinmedizin,2014,Neuhausen,1805.9,48761,27
Allgemeinmedizin,2014,Schwanthalerhöhe,1769.6,30083,17
Allgemeinmedizin,2014,Laim,1519.8,54714,36
Allgemeinmedizin,2014,Maxvorstadt,1502.1,52575,35
Allgemeinmedizin,2014,Au-Haidhausen,1412.9,60756,43
Allgemeinmedizin,2014,Berg am Laim,2317,44022,19
Allgemeinmedizin,2014,Harlaching,1692.0,52452,31
Allgemeinmedizin,2014,Nymphenburg,1805.9,48761,27
Allgemeinmedizin,2014,Obermenzing,2178.2,35940,17
Allgemeinmedizin,2014,Forstenried-Fürstenried,2125.9,30470,14
