Arzt Fachrichtung,Jahr,Stadtteil,Dichte,Anzahl Einwohner,Anzahl Aerzte
Allgemeinmedizin,2016,Ludwigsvorstadt-Isarvorstadt,885.7,54915,62
Allgemeinmedizin,2016,Altstadt-Lehel,363.6,21454,59
Allgemeinmedizin,2016,Sendling-Westpark,3114.4,100404,43
Allgemeinmedizin,2016,Giesing,3043.6,54784,18
Allgemeinmedizin,2016,Hadern,2974.5,50567,17
Allgemeinmedizin,2016,Moosach,2834.7,53859,19
Allgemeinmedizin,2016,Berg am Laim,2685.6,45655,17
Allgemeinmedizin,2016,Feldmoching-Hasenbergl,2470.6,61764,25
Allgemeinmedizin,2016,Trudering-Riem,2463.7,71448,29
Allgemeinmedizin,2016,Ramersdorf-Perlach,2324.5,113898,49
Allgemeinmedizin,2016,Milbertshofen-Am Hart,2310.8,76255,33
Allgemeinmedizin,2016,Allach-Untermenzing,2303.4,32248,14
Allgemeinmedizin,2016,Schwabing-Freimann,2205.4,77188,35
Allgemeinmedizin,2016,Neuhausen,2163.9,49769,23
Allgemeinmedizin,2016,Thalkirchen-Obersendling,2091.3,32066,15
Allgemeinmedizin,2016,Aubing-Lochhausen-Langwied,1981.4,45571,23
Allgemeinmedizin,2016,Harlaching,1863.8,54050,29
Allgemeinmedizin,2016,Au-Haidhausen,1823.5,61999,34
Allgemeinmedizin,2016,Bogenhausen,1743.3,87164,50
Allgemeinmedizin,2016,Maxvorstadt,1670.1,53443,32
Allgemeinmedizin,2016,Schwanthalerhâ€he,1514.1,30282,20
Allgemeinmedizin,2016,Laim,1444.5,56335,39
Allgemeinmedizin,2016,Pasing,2326.0,37216,16
Allgemeinmedizin,2016,Schwabing-West,2169,69407,32
Allgemeinmedizin,2016,Nymphenburg,2163.9,49769,23
Allgemeinmedizin,2016,Obermenzing,2326.0,37216,16
Allgemeinmedizin,2016,Forstenried-FÂrstenried,2091.3,32066,15
