Arzt Fachrichtung,Jahr,Stadtteil,Dichte,Anzahl Einwohner,Anzahl Aerzte
Allgemeinmedizin,2010,Ludwigsvorstadt-Isarvorstadt,845.7,47357,56
Allgemeinmedizin,2010,Altstadt-Lehel,331.2,19207,58
Allgemeinmedizin,2010,Hadern,2755.9,46851,17
Allgemeinmedizin,2010,Moosach,2690.1,48421,18
Allgemeinmedizin,2010,Giesing,2451.5,49030,20
Allgemeinmedizin,2010,Berg am Laim,2252.8,40550,18
Allgemeinmedizin,2010,Sendling-Westpark,2099.8,91062,51
Allgemeinmedizin,2010,Trudering-Riem,2091.9,62756,30
Allgemeinmedizin,2010,Thalkirchen-Obersendling,2089.6,27861,13
Allgemeinmedizin,2010,Schwabing-West,2027.6,62856,31
Allgemeinmedizin,2010,Feldmoching-Hasenbergl,2004.6,56130,28
Allgemeinmedizin,2010,Aubing-Lochhausen-Langwied,1943.2,38863,20
Allgemeinmedizin,2010,Allach-Untermenzing,1715.4,29161,17
Allgemeinmedizin,2010,Bogenhausen,1582.5,77542,49
Allgemeinmedizin,2010,Pasing,1577.2,33122,21
Allgemeinmedizin,2010,Schwanthalerhöhe,1473.9,28004,19
Allgemeinmedizin,2010,Harlaching,1455.9,49502,34
Allgemeinmedizin,2010,Neuhausen,1440.1,44643,31
Allgemeinmedizin,2010,Maxvorstadt,1253.2,48875,39
Allgemeinmedizin,2010,Au-Haidhausen,1251.6,56322,45
Allgemeinmedizin,2010,Ramersdorf-Perlach,2182,104737,48
Allgemeinmedizin,2010,Milbertshofen-Am Hart,2090,68970,33
Allgemeinmedizin,2010,Schwabing-Freimann,1629,65158,40
Allgemeinmedizin,2010,Laim,1439,51805,36
Allgemeinmedizin,2010,Nymphenburg,1440.1,44643,31
Allgemeinmedizin,2010,Obermenzing,1577.2,33122,21
Allgemeinmedizin,2010,Forstenried-Fürstenried,2089.6,27861,13
Allgemeinmedizin,2010,Solln,2089.6,27861,13
