Arzt Fachrichtung,Jahr,Stadtteil,Dichte,Anzahl Einwohner,Anzahl Aerzte
Allgemeinmedizin,2017,Ludwigsvorstadt-Isarvorstadt,819.6,51632,63
Allgemeinmedizin,2017,Altstadt-Lehel,367.1,20926,57
Allgemeinmedizin,2017,Sendling-Westpark,3493.3,100068,41
Allgemeinmedizin,2017,Hadern,3101.6,49626,16
Allgemeinmedizin,2017,Berg am Laim,3038.8,45582,15
Allgemeinmedizin,2017,Giesing,2838.8,53937,19
Allgemeinmedizin,2017,Allach-Untermenzing,2723.1,32677,12
Allgemeinmedizin,2017,Moosach,2683.1,53662,20
Allgemeinmedizin,2017,Feldmoching-Hasenbergl,2437.3,60933,25
Allgemeinmedizin,2017,Pasing,2390.3,37049,15
Allgemeinmedizin,2017,Thalkirchen-Obersendling,2171.7,31851,15
Allgemeinmedizin,2017,Schwabing-Freimann,2120.6,76341,36
Allgemeinmedizin,2017,Neuhausen,2096.2,49260,24
Allgemeinmedizin,2017,Schwabing-West,2007.8,68265,34
Allgemeinmedizin,2017,Bogenhausen,1953.9,85971,44
Allgemeinmedizin,2017,Harlaching,1878.6,52600,28
Allgemeinmedizin,2017,Aubing-Lochhausen-Langwied,1855.4,46385,25
Allgemeinmedizin,2017,Au-Haidhausen,1846.6,60937,33
Allgemeinmedizin,2017,Maxvorstadt,1769.3,51311,29
Allgemeinmedizin,2017,Schwanthalerhâ€he,1640.8,29535,18
Allgemeinmedizin,2017,Laim,1481.1,56281,38
Allgemeinmedizin,2017,Milbertshofen-Am Hart,2669,74731,28
Allgemeinmedizin,2017,Trudering-Riem,2483,72006,29
Allgemeinmedizin,2017,Ramersdorf-Perlach,2385,114478,48
Allgemeinmedizin,2017,Nymphenburg,2096.2,49260,24
Allgemeinmedizin,2017,Obermenzing,2390.3,37049,15
Allgemeinmedizin,2017,Forstenried-FÂrstenried,2171.7,31851,15
Allgemeinmedizin,2017,Solln,2171.7,31851,15
