Arzt Fachrichtung,Jahr,Stadtteil,Dichte,Anzahl Einwohner,Anzahl Aerzte
Allgemeinmedizin,2015,Ludwigsvorstadt-Isarvorstadt,916.1,54049,59
Allgemeinmedizin,2015,Hadern,3141.1,50257,16
Allgemeinmedizin,2015,Sendling-Westpark,3073.6,99277,44
Allgemeinmedizin,2015,Giesing,2863.3,54402,19
Allgemeinmedizin,2015,Moosach,2663.1,53261,20
Allgemeinmedizin,2015,Milbertshofen-Am Hart,2516.3,75488,30
Allgemeinmedizin,2015,Ramersdorf-Perlach,2442.9,112371,46
Allgemeinmedizin,2015,Trudering-Riem,2407.9,69830,29
Allgemeinmedizin,2015,Berg am Laim,2370.3,45035,19
Allgemeinmedizin,2015,Feldmoching-Hasenbergl,2366.7,61534,26
Allgemeinmedizin,2015,Pasing,2291.3,36660,16
Allgemeinmedizin,2015,Allach-Untermenzing,2277.3,31882,14
Allgemeinmedizin,2015,Schwabing-Freimann,2143.4,75020,35
Allgemeinmedizin,2015,Thalkirchen-Obersendling,1991.5,31200,16
Allgemeinmedizin,2015,Aubing-Lochhausen-Langwied,1899.2,43682,23
Allgemeinmedizin,2015,Harlaching,1779.2,53377,30
Allgemeinmedizin,2015,Bogenhausen,1718.9,85947,50
Allgemeinmedizin,2015,Au-Haidhausen,1576.8,61495,39
Allgemeinmedizin,2015,Laim,1496.6,55374,37
Allgemeinmedizin,2015,Maxvorstadt,1492.9,53743,36
Allgemeinmedizin,2015,Schwabing-West,2363,68527,29
Allgemeinmedizin,2015,Neuhausen,1974.0,49351,25
Allgemeinmedizin,2015,Schwanthalerhöhe,1599,30381,19
Allgemeinmedizin,2015,Altstadt-Lehel,384,21122,55
Allgemeinmedizin,2015,Nymphenburg,1974.0,49351,25
Allgemeinmedizin,2015,Obermenzing,2291.3,36660,16
Allgemeinmedizin,2015,Forstenried-Fürstenried,1991.5,31200,16
Allgemeinmedizin,2015,Solln,1991.5,31200,16
